1:ROR:!=(int,int):<(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):70:x.length != y.length |==> x.length < y.length
42:AOR:+(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):91:n + 1 |==> n / 1
43:LVR:0:POS:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):92:0 |==> 1
44:LVR:0:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):92:0 |==> -1
45:LVR:0:POS:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):92:0.0 |==> 1.0
46:LVR:0:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):92:0.0 |==> -1.0
47:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):92:mu[0] = 0.0 |==> <NO-OP>
48:LVR:0:POS:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):93:0 |==> 1
49:LVR:0:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):93:0 |==> -1
50:LVR:0:POS:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):93:0.0 |==> 1.0
51:LVR:0:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):93:0.0 |==> -1.0
52:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):93:z[0] = 0.0 |==> <NO-OP>
53:LVR:0:POS:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):94:0 |==> 1
54:LVR:0:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):94:0 |==> -1
55:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):95:1 |==> 0
56:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):95:1 |==> -1
57:ROR:<(int,int):!=(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):95:i < n |==> i != n
58:ROR:<(int,int):<=(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):95:i < n |==> i <= n
59:ROR:<(int,int):FALSE(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):95:i < n |==> false
60:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 |==> 0.0
61:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 |==> -2.0
62:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> 0
63:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> -1
64:AOR:+(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i + 1 |==> i % 1
65:AOR:+(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i + 1 |==> i * 1
66:AOR:+(int,int):-(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i + 1 |==> i - 1
67:AOR:+(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i + 1 |==> i / 1
68:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> 0
69:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> -1
70:AOR:-(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i % 1
71:AOR:-(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i * 1
72:AOR:-(int,int):+(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i + 1
73:AOR:-(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i / 1
74:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:x[i + 1] - x[i - 1] |==> x[i + 1] % x[i - 1]
75:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:x[i + 1] - x[i - 1] |==> x[i + 1] * x[i - 1]
76:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:x[i + 1] - x[i - 1] |==> x[i + 1] + x[i - 1]
77:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:x[i + 1] - x[i - 1] |==> x[i + 1] / x[i - 1]
78:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) |==> 2.0 % (x[i + 1] - x[i - 1])
79:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) |==> 2.0 + (x[i + 1] - x[i - 1])
80:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) |==> 2.0 - (x[i + 1] - x[i - 1])
81:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) |==> 2.0 / (x[i + 1] - x[i - 1])
82:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> 0
83:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> -1
84:AOR:-(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i % 1
85:AOR:-(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i * 1
86:AOR:-(int,int):+(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i + 1
87:AOR:-(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i / 1
88:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> 0
89:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:1 |==> -1
90:AOR:-(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i % 1
91:AOR:-(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i * 1
92:AOR:-(int,int):+(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i + 1
93:AOR:-(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:i - 1 |==> i / 1
94:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:h[i - 1] * mu[i - 1] |==> h[i - 1] % mu[i - 1]
95:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:h[i - 1] * mu[i - 1] |==> h[i - 1] + mu[i - 1]
96:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:h[i - 1] * mu[i - 1] |==> h[i - 1] - mu[i - 1]
97:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:h[i - 1] * mu[i - 1] |==> h[i - 1] / mu[i - 1]
98:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) - h[i - 1] * mu[i - 1] |==> 2.0 * (x[i + 1] - x[i - 1]) % (h[i - 1] * mu[i - 1])
99:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) - h[i - 1] * mu[i - 1] |==> 2.0 * (x[i + 1] - x[i - 1]) * (h[i - 1] * mu[i - 1])
100:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) - h[i - 1] * mu[i - 1] |==> 2.0 * (x[i + 1] - x[i - 1]) + h[i - 1] * mu[i - 1]
101:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:2.0 * (x[i + 1] - x[i - 1]) - h[i - 1] * mu[i - 1] |==> 2.0 * (x[i + 1] - x[i - 1]) / (h[i - 1] * mu[i - 1])
102:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):96:g = 2.0 * (x[i + 1] - x[i - 1]) - h[i - 1] * mu[i - 1] |==> <NO-OP>
103:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):97:h[i] / g |==> h[i] % g
104:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):97:h[i] / g |==> h[i] * g
105:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):97:h[i] / g |==> h[i] + g
106:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):97:h[i] / g |==> h[i] - g
107:STD:<ASSIGN>:<NO-OP>:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):97:mu[i] = h[i] / g |==> <NO-OP>
108:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:3.0 |==> 0.0
109:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:3.0 |==> -3.0
110:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> 0
111:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> -1
112:AOR:+(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i % 1
113:AOR:+(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i * 1
114:AOR:+(int,int):-(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i - 1
115:AOR:+(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i / 1
116:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> 0
117:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> -1
118:AOR:-(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i % 1
119:AOR:-(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i * 1
120:AOR:-(int,int):+(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i + 1
121:AOR:-(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i / 1
122:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] |==> y[i + 1] % h[i - 1]
123:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] |==> y[i + 1] + h[i - 1]
124:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] |==> y[i + 1] - h[i - 1]
125:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] |==> y[i + 1] / h[i - 1]
126:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> 0
127:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> -1
128:AOR:+(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i % 1
129:AOR:+(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i * 1
130:AOR:+(int,int):-(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i - 1
131:AOR:+(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i + 1 |==> i / 1
132:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> 0
133:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> -1
134:AOR:-(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i % 1
135:AOR:-(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i * 1
136:AOR:-(int,int):+(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i + 1
137:AOR:-(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i / 1
138:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:x[i + 1] - x[i - 1] |==> x[i + 1] % x[i - 1]
139:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:x[i + 1] - x[i - 1] |==> x[i + 1] * x[i - 1]
140:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:x[i + 1] - x[i - 1] |==> x[i + 1] + x[i - 1]
141:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:x[i + 1] - x[i - 1] |==> x[i + 1] / x[i - 1]
142:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i] * (x[i + 1] - x[i - 1]) |==> y[i] % (x[i + 1] - x[i - 1])
143:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i] * (x[i + 1] - x[i - 1]) |==> y[i] + (x[i + 1] - x[i - 1])
144:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i] * (x[i + 1] - x[i - 1]) |==> y[i] - (x[i + 1] - x[i - 1])
145:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i] * (x[i + 1] - x[i - 1]) |==> y[i] / (x[i + 1] - x[i - 1])
146:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) |==> y[i + 1] * h[i - 1] % (y[i] * (x[i + 1] - x[i - 1]))
147:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) |==> y[i + 1] * h[i - 1] * (y[i] * (x[i + 1] - x[i - 1]))
148:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) |==> y[i + 1] * h[i - 1] + y[i] * (x[i + 1] - x[i - 1])
149:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) |==> y[i + 1] * h[i - 1] / (y[i] * (x[i + 1] - x[i - 1]))
150:LVR:POS:0:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> 0
151:LVR:POS:NEG:org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:1 |==> -1
152:AOR:-(int,int):%(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i % 1
153:AOR:-(int,int):*(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i * 1
154:AOR:-(int,int):+(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i + 1
155:AOR:-(int,int):/(int,int):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:i - 1 |==> i / 1
156:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i - 1] * h[i] |==> y[i - 1] % h[i]
157:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i - 1] * h[i] |==> y[i - 1] + h[i]
158:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i - 1] * h[i] |==> y[i - 1] - h[i]
159:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i - 1] * h[i] |==> y[i - 1] / h[i]
160:AOR:+(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i] |==> (y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1])) % (y[i - 1] * h[i])
161:AOR:+(double,double):*(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i] |==> (y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1])) * (y[i - 1] * h[i])
162:AOR:+(double,double):-(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i] |==> y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) - y[i - 1] * h[i]
163:AOR:+(double,double):/(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i] |==> (y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1])) / (y[i - 1] * h[i])
164:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:3.0 * (y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i]) |==> 3.0 % (y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i])
165:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.interpolation.SplineInterpolator@interpolate(double[],double[]):98:3.0 * (y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i]) |==> 3.0 + (y[i + 1] * h[i - 1] - y[i] * (x[i + 1] - x[i - 1]) + y[i - 1] * h[i])
